Date, Bike Price ,Number of Bikes Sold
2/13/2024, $70.40 ,602580000
2/12/2024, $72.60 ,613710000
2/9/2024, $70.53 ,436637000
2/8/2024, $70.07 ,414422000
2/7/2024, $68.32 ,495575000
2/6/2024, $69.63 ,683111000
2/5/2024, $68.22 ,680078000
2/2/2024, $63.97 ,476578000
2/1/2024, $62.10 ,369146000
1/31/2024, $61.44 ,453795000
1/30/2024, $62.90 ,410735000
1/29/2024, $61.23 ,348733000
1/26/2024, $60.96 ,390309000
1/25/2024, $62.35 ,482777000
1/24/2024, $60.30 ,560271000
1/23/2024, $59.57 ,294654000
1/22/2024, $60.05 ,452955000
1/19/2024, $57.99 ,543501000
1/18/2024, $57.26 ,491650000
1/17/2024, $56.35 ,474394000
1/16/2024, $55.02 ,449580000
1/12/2024, $54.62 ,352994000
1/11/2024, $55.00 ,596759000
1/10/2024, $53.62 ,533796000
1/9/2024, $52.40 ,773100000
1/8/2024, $49.51 ,642510000
1/5/2024, $48.46 ,415039000
1/4/2024, $47.77 ,306535000
1/3/2024, $47.49 ,320896000
1/2/2024, $49.24 ,411254000
12/29/2023, $49.81 ,389293000
12/28/2023, $49.64 ,246587000
12/27/2023, $49.51 ,233648000
12/26/2023, $48.97 ,244200000
12/22/2023, $49.20 ,252507000
12/21/2023, $48.81 ,300425000
12/20/2023, $49.65 ,397894000
12/19/2023, $49.42 ,464444000
12/18/2023, $49.40 ,412587000
12/15/2023, $48.19 ,479948000
12/14/2023, $48.39 ,391232000
12/13/2023, $47.63 ,447792000
12/12/2023, $46.05 ,372387000
12/11/2023, $47.49 ,509728000
12/8/2023, $46.60 ,359224000
12/7/2023, $45.70 ,350823000
12/6/2023, $47.22 ,380590000
12/5/2023, $45.47 ,371718000
12/4/2023, $46.08 ,437543000
12/1/2023, $46.53 ,369317000
11/30/2023, $48.02 ,526247000
11/29/2023, $48.38 ,382005000
11/28/2023, $48.24 ,401491000
11/27/2023, $47.80 ,395662000
11/24/2023, $48.47 ,294645000
11/22/2023, $49.85 ,899420000
11/21/2023, $50.13 ,565747000
11/20/2023, $49.31 ,414120000
11/17/2023, $49.52 ,325205000
11/16/2023, $48.68 ,339756000
11/15/2023, $49.94 ,475497000
11/14/2023, $49.68 ,416954000
11/13/2023, $48.32 ,384136000
11/10/2023, $47.50 ,421245000
11/9/2023, $47.47 ,540496000
11/8/2023, $46.10 ,346719000
11/7/2023, $45.72 ,343165000
11/6/2023, $45.29 ,400733000
11/3/2023, $44.02 ,424610000
11/2/2023, $43.33 ,409172000
11/1/2023, $40.88 ,437593000
10/31/2023, $40.45 ,517969000
10/30/2023, $41.09 ,388028000
10/27/2023, $41.13 ,416784000
10/26/2023, $41.85 ,541001000
10/25/2023, $43.40 ,398379000
10/24/2023, $43.08 ,401463000
10/23/2023, $41.23 ,478530000
10/20/2023, $41.89 ,477266000
10/19/2023, $42.81 ,501233000
10/18/2023, $42.59 ,627294000
10/17/2023, $44.00 ,812333000
10/16/2023, $45.06 ,375099000
10/13/2023, $46.96 ,474115000
10/12/2023, $46.78 ,481325000
10/11/2023, $46.20 ,378137000
10/10/2023, $45.31 ,368582000
10/9/2023, $44.84 ,409675000
10/6/2023, $44.19 ,434436000
10/5/2023, $44.05 ,393483000
10/4/2023, $43.74 ,361821000
10/3/2023, $44.81 ,470850000
10/2/2023, $44.03 ,433298000
9/29/2023, $43.83 ,397830000
9/28/2023, $42.46 ,424663000
9/27/2023, $42.33 ,444935000
9/26/2023, $42.00 ,402282000
9/25/2023, $41.59 ,419091000
9/22/2023, $41.57 ,479236000
9/21/2023, $41.58 ,450736000
9/20/2023, $43.60 ,367108000
9/19/2023, $43.83 ,373064000
9/18/2023, $42.75 ,500271000
9/15/2023, $45.34 ,506831000
9/14/2023, $45.95 ,370097000
9/13/2023, $44.60 ,398355000
9/12/2023, $44.74 ,349256000
9/11/2023, $46.15 ,473966000
9/8/2023, $45.94 ,473069000
9/7/2023, $45.53 ,433330000
9/6/2023, $48.44 ,468670000
9/5/2023, $48.22 ,382653000
9/1/2023, $49.76 ,463830000
8/31/2023, $49.38 ,528570000
8/30/2023, $49.04 ,735206000
8/29/2023, $46.67 ,701397000
8/28/2023, $46.48 ,685192000
8/25/2023, $47.01 ,925341000
8/24/2023, $50.22 ,1156044000
8/23/2023, $45.87 ,779046000
8/22/2023, $48.13 ,755293000
8/21/2023, $44.49 ,692573000
8/18/2023, $42.63 ,583768000
8/17/2023, $43.97 ,452395000
8/16/2023, $44.52 ,527451000
8/15/2023, $44.56 ,676512000
8/14/2023, $40.49 ,690286000
8/11/2023, $41.75 ,533085000
8/10/2023, $42.16 ,492705000
8/9/2023, $44.27 ,586449000
8/8/2023, $44.85 ,353843000
8/7/2023, $45.11 ,322154000
8/4/2023, $44.99 ,362666000
8/3/2023, $43.80 ,324176000
8/2/2023, $45.83 ,530142000
8/1/2023, $46.46 ,237858000
7/31/2023, $46.75 ,251055000
7/28/2023, $46.67 ,331194000
7/27/2023, $46.52 ,455976000
7/26/2023, $46.02 ,364237000
7/25/2023, $44.94 ,348081000
7/24/2023, $44.73 ,382516000
7/21/2023, $45.79 ,963769000
7/20/2023, $46.51 ,537865000
7/19/2023, $47.46 ,427502000
7/18/2023, $46.70 ,569164000
7/17/2023, $46.29 ,510488000
7/14/2023, $46.58 ,772075000
7/13/2023, $44.52 ,478204000
7/12/2023, $43.03 ,481277000
7/11/2023, $42.48 ,298244000
7/10/2023, $42.66 ,353908000
7/7/2023, $42.32 ,355881000
7/6/2023, $41.84 ,303582000
7/5/2023, $42.13 ,323618000
7/3/2023, $42.52 ,198209000
6/30/2023, $41.68 ,501148000
6/29/2023, $41.56 ,380514000
6/28/2023, $40.66 ,582639000
6/27/2023, $40.80 ,462175000
6/26/2023, $42.46 ,594322000
6/23/2023, $42.46 ,358140000
6/22/2023, $42.25 ,417737000
6/21/2023, $43.50 ,551603000
6/20/2023, $43.00 ,451153000
6/16/2023, $43.45 ,655709000
6/15/2023, $42.60 ,568622000
6/14/2023, $40.82 ,740465000
6/13/2023, $40.19 ,613208000
6/12/2023, $39.20 ,388701000
6/9/2023, $39.04 ,427717000
6/8/2023, $37.72 ,417772000
6/7/2023, $38.92 ,511998000
6/6/2023, $38.83 ,388729000
6/5/2023, $38.91 ,396094000
6/2/2023, $40.10 ,482731000
6/1/2023, $38.49 ,635873000
5/31/2023, $39.49 ,1002580000
5/30/2023, $40.60 ,923401000
5/26/2023, $37.89 ,714397000
5/25/2023, $38.52 ,1543911000
5/24/2023, $30.21 ,721419000
5/23/2023, $31.00 ,356253000
5/22/2023, $30.90 ,372000000
5/19/2023, $31.54 ,473908000
5/18/2023, $30.41 ,748725000
5/17/2023, $29.58 ,432535000
5/16/2023, $28.84 ,449405000
5/15/2023, $28.51 ,293926000
5/12/2023, $28.53 ,274222000
5/11/2023, $28.90 ,322149000
5/10/2023, $29.00 ,369350000
5/9/2023, $28.90 ,314869000
5/8/2023, $28.52 ,344979000
5/5/2023, $27.83 ,361494000
5/4/2023, $27.65 ,321850000
5/3/2023, $27.84 ,383387000
5/2/2023, $28.68 ,402730000
5/1/2023, $27.84 ,570329000
4/28/2023, $27.23 ,292216000
4/27/2023, $27.36 ,377161000
4/26/2023, $27.00 ,406337000
4/25/2023, $27.08 ,378527000
4/24/2023, $27.01 ,339282000
4/21/2023, $26.95 ,345103000
4/20/2023, $27.67 ,427713000
4/19/2023, $27.36 ,358660000
4/18/2023, $27.53 ,604812000
4/17/2023, $26.57 ,321471000
4/14/2023, $26.50 ,395660000
4/13/2023, $26.73 ,353615000
4/12/2023, $27.37 ,446259000
4/11/2023, $27.72 ,314378000
4/10/2023, $26.82 ,395279000
4/6/2023, $26.58 ,397654000
4/5/2023, $26.83 ,515015000
4/4/2023, $27.97 ,368592000
4/3/2023, $27.51 ,398716000
3/31/2023, $27.14 ,433933000
3/30/2023, $27.23 ,364516000
3/29/2023, $26.83 ,393694000
3/28/2023, $26.45 ,356104000
3/27/2023, $26.84 ,361026000
3/24/2023, $27.03 ,454920000
3/23/2023, $27.12 ,564889000
3/22/2023, $26.42 ,797295000
3/21/2023, $26.18 ,547408000
3/20/2023, $25.62 ,432747000
3/17/2023, $25.98 ,848547000
3/16/2023, $24.03 ,583253000
3/15/2023, $23.76 ,524486000
3/14/2023, $23.50 ,474910000
3/13/2023, $22.75 ,421890000
3/10/2023, $23.41 ,474866000
3/9/2023, $24.17 ,501257000
3/8/2023, $23.49 ,513573000
3/7/2023, $23.60 ,515154000
3/6/2023, $23.89 ,437429000
3/3/2023, $23.32 ,412393000
3/2/2023, $22.49 ,389415000
3/1/2023, $23.19 ,460026000
2/28/2023, $23.37 ,455963000
2/27/2023, $23.67 ,452994000
2/24/2023, $23.23 ,589716000
2/23/2023, $23.44 ,1117995000
2/22/2023, $20.71 ,513184000
2/21/2023, $21.00 ,410015000
2/17/2023, $21.63 ,465888000
2/16/2023, $22.13 ,412026000
2/15/2023, $22.55 ,420575000
2/14/2023, $21.58 ,675474000
2/13/2023, $21.54 ,474919000
2/10/2023, $21.69 ,550737000
2/9/2023, $22.61 ,523876000
2/8/2023, $22.39 ,559651000
2/7/2023, $21.38 ,664150000
2/6/2023, $20.81 ,452197000
2/3/2023, $21.00 ,429366000
2/2/2023, $21.00 ,564276000
2/1/2023, $19.69 ,660477000
1/31/2023, $19.17 ,498017000
1/30/2023, $19.95 ,488611000
1/27/2023, $19.46 ,542142000
1/26/2023, $19.70 ,489535000
1/25/2023, $18.91 ,449537000
1/24/2023, $18.83 ,496204000
1/23/2023, $18.06 ,655163000
1/20/2023, $17.01 ,564967000
1/19/2023, $17.04 ,452932000
1/18/2023, $17.67 ,439624000
1/17/2023, $16.90 ,511102000
1/13/2023, $16.28 ,447287000
1/12/2023, $16.10 ,551409000
1/11/2023, $15.84 ,353285000
1/10/2023, $15.51 ,384101000
1/9/2023, $15.28 ,504231000
1/6/2023, $14.47 ,405044000
1/5/2023, $14.49 ,389168000
1/4/2023, $14.57 ,431324000
1/3/2023, $14.85 ,401277000
12/30/2022, $14.33 ,310490000
12/29/2022, $14.40 ,354923000
12/28/2022, $13.93 ,351066000
12/27/2022, $15.07 ,464902000
12/23/2022, $15.20 ,349326000
12/22/2022, $16.09 ,565045000
12/21/2022, $16.11 ,325025000
12/20/2022, $16.06 ,403260000
12/19/2022, $16.57 ,354039000
12/16/2022, $16.86 ,478232000
12/15/2022, $17.15 ,478542000
12/14/2022, $17.99 ,496888000
12/13/2022, $18.53 ,656589000
12/12/2022, $17.04 ,457328000
12/9/2022, $17.16 ,465338000
12/8/2022, $16.27 ,515456000
12/7/2022, $15.77 ,372388000
12/6/2022, $16.53 ,352694000
12/5/2022, $16.68 ,352255000
12/2/2022, $16.66 ,371389000
12/1/2022, $17.00 ,470977000
11/30/2022, $15.70 ,565298000
11/29/2022, $15.83 ,298384000
11/28/2022, $16.03 ,303741000
11/25/2022, $16.32 ,167934000
11/23/2022, $16.10 ,427241000
11/22/2022, $15.33 ,472866000
11/21/2022, $15.15 ,404739000
11/18/2022, $15.97 ,492072000
11/17/2022, $15.72 ,710894000
11/16/2022, $16.16 ,649547000
11/15/2022, $16.72 ,545876000
11/14/2022, $16.22 ,527852000
11/11/2022, $15.81 ,655487000
11/10/2022, $14.80 ,700819000
11/9/2022, $14.16 ,454414000
11/8/2022, $14.80 ,595292000
11/7/2022, $14.23 ,410061000
11/4/2022, $13.99 ,612576000
11/3/2022, $13.04 ,500065000
11/2/2022, $13.85 ,672628000
11/1/2022, $13.81 ,432817000
10/31/2022, $13.78 ,486341000
10/28/2022, $13.10 ,521040000
10/27/2022, $13.63 ,583113000
10/26/2022, $12.87 ,532953000
10/25/2022, $12.69 ,505482000
10/24/2022, $12.51 ,517457000
10/21/2022, $12.10 ,609494000
10/20/2022, $12.11 ,652398000
10/19/2022, $11.88 ,523131000
10/18/2022, $12.34 ,659362000
10/17/2022, $11.52 ,580774000
10/14/2022, $12.06 ,713432000
10/13/2022, $10.97 ,850103000
10/12/2022, $11.58 ,492590000
10/11/2022, $11.56 ,667482000
10/10/2022, $12.04 ,698699000
10/7/2022, $12.51 ,672478000
10/6/2022, $13.22 ,644157000
10/5/2022, $12.91 ,507131000
10/4/2022, $12.88 ,584182000
10/3/2022, $12.35 ,547478000
9/30/2022, $12.09 ,565638000
9/29/2022, $12.45 ,532763000
9/28/2022, $12.41 ,542414000
9/27/2022, $12.51 ,553854000
9/26/2022, $12.49 ,547343000
9/23/2022, $12.42 ,663309000
9/22/2022, $13.07 ,759162000
9/21/2022, $13.21 ,807679000
9/20/2022, $13.22 ,524818000
9/19/2022, $13.01 ,569685000
9/16/2022, $12.74 ,670751000
9/15/2022, $13.02 ,523625000
9/14/2022, $13.25 ,588507000
9/13/2022, $13.80 ,714956000
9/12/2022, $14.37 ,484159000
9/9/2022, $14.16 ,486612000
9/8/2022, $13.46 ,624873000
9/7/2022, $13.56 ,512657000
9/6/2022, $13.73 ,535751000
9/2/2022, $14.10 ,743157000
9/1/2022, $14.21 ,1178865000
8/31/2022, $15.38 ,573710000
8/30/2022, $15.96 ,530181000
8/29/2022, $16.02 ,496132000
8/26/2022, $17.86 ,769127000
8/25/2022, $16.84 ,770691000
8/24/2022, $17.01 ,522661000
8/23/2022, $16.99 ,369986000
8/22/2022, $17.49 ,409593000
8/19/2022, $18.41 ,441588000
8/18/2022, $18.30 ,415447000
8/17/2022, $18.52 ,446799000
8/16/2022, $18.92 ,451240000
8/15/2022, $18.70 ,457666000
8/12/2022, $18.16 ,478094000
8/11/2022, $18.13 ,509327000
8/10/2022, $17.70 ,597422000
8/9/2022, $17.25 ,668263000
8/8/2022, $17.50 ,981859000
8/5/2022, $18.81 ,386068000
8/4/2022, $18.85 ,409652000
8/3/2022, $18.18 ,418146000
8/2/2022, $18.12 ,489527000
8/1/2022, $18.18 ,476469000
7/29/2022, $17.81 ,435460000
7/28/2022, $17.98 ,474646000
7/27/2022, $17.03 ,569776000
7/26/2022, $16.89 ,397865000
7/25/2022, $17.02 ,480748000
7/22/2022, $17.89 ,536671000
7/21/2022, $17.89 ,557049000
7/20/2022, $16.95 ,760538000
7/19/2022, $16.49 ,702366000
7/18/2022, $16.30 ,670517000
7/15/2022, $15.66 ,385935000
7/14/2022, $15.11 ,456235000
7/13/2022, $14.59 ,521918000
7/12/2022, $15.27 ,458483000
7/11/2022, $15.53 ,437321000
7/8/2022, $15.43 ,467972000
7/7/2022, $15.46 ,492903000
7/6/2022, $15.01 ,529066000
7/5/2022, $14.18 ,651397000
7/1/2022, $14.90 ,577610000
6/30/2022, $15.36 ,686070000
6/29/2022, $15.81 ,482352000
6/28/2022, $16.90 ,461149000
6/27/2022, $17.31 ,427968000
6/24/2022, $16.50 ,472153000
6/23/2022, $16.52 ,463680000
6/22/2022, $16.23 ,437135000
6/21/2022, $16.48 ,483089000
6/17/2022, $15.65 ,630334000
6/16/2022, $15.86 ,545749000
6/15/2022, $16.09 ,563936000
6/14/2022, $15.73 ,469680000
6/13/2022, $16.00 ,604153000
6/10/2022, $17.60 ,465248000
6/9/2022, $18.48 ,395574000
6/8/2022, $18.80 ,363252000
6/7/2022, $18.47 ,388914000
6/6/2022, $19.14 ,422406000
6/3/2022, $19.08 ,598779000
6/2/2022, $18.29 ,648656000
6/1/2022, $18.72 ,544514000
5/31/2022, $18.98 ,664100000
5/27/2022, $18.19 ,738379000
5/26/2022, $16.04 ,996575000
5/25/2022, $16.02 ,781132000
5/24/2022, $16.51 ,588550000
5/23/2022, $16.27 ,639889000
5/20/2022, $17.33 ,739105000
5/19/2022, $16.94 ,621310000
5/18/2022, $17.71 ,545161000
5/17/2022, $18.07 ,585830000
5/16/2022, $17.51 ,521446000
5/13/2022, $16.79 ,670437000
5/12/2022, $16.22 ,708728000
5/11/2022, $17.35 ,670167000
5/10/2022, $17.69 ,761474000
5/9/2022, $18.03 ,644455000
5/6/2022, $18.74 ,633297000
5/5/2022, $19.87 ,626331000
5/4/2022, $19.92 ,648855000
5/3/2022, $19.40 ,475751000
5/2/2022, $18.54 ,572049000
4/29/2022, $19.40 ,500435000
4/28/2022, $18.97 ,570327000
4/27/2022, $18.60 ,499460000
4/26/2022, $19.72 ,653143000
4/25/2022, $19.20 ,641566000
4/22/2022, $20.30 ,624713000
4/21/2022, $21.71 ,656209000
4/20/2022, $22.52 ,468974000
4/19/2022, $21.72 ,512781000
4/18/2022, $21.20 ,525701000
4/14/2022, $22.50 ,569097000
4/13/2022, $21.73 ,516943000
4/12/2022, $22.54 ,662258000
4/11/2022, $22.21 ,575207000
4/8/2022, $23.92 ,524781000
4/7/2022, $24.44 ,557992000
4/6/2022, $24.93 ,703833000
4/5/2022, $27.25 ,436615000
4/4/2022, $26.73 ,397120000
4/1/2022, $27.38 ,517235000
3/31/2022, $27.78 ,523440000
3/30/2022, $28.30 ,463487000
3/29/2022, $28.70 ,488984000
3/28/2022, $27.76 ,425494000
3/25/2022, $27.89 ,579016000
3/24/2022, $26.17 ,877379000
3/23/2022, $26.13 ,502120000
3/22/2022, $26.73 ,547007000
3/21/2022, $26.51 ,591727000
3/18/2022, $24.80 ,730719000
3/17/2022, $24.12 ,471941000
3/16/2022, $23.50 ,671422000
3/15/2022, $21.52 ,491996000
3/14/2022, $21.87 ,385354000
3/11/2022, $23.02 ,367209000
3/10/2022, $22.53 ,428066000
3/9/2022, $22.39 ,492742000
3/8/2022, $21.31 ,557467000
3/7/2022, $22.82 ,450821000
3/4/2022, $23.38 ,431415000
3/3/2022, $24.26 ,365095000
3/2/2022, $23.76 ,389642000
3/1/2022, $24.29 ,412056000
2/28/2022, $23.99 ,477319000
2/25/2022, $23.72 ,528866000
2/24/2022, $21.01 ,735801000
2/23/2022, $23.80 ,566511000
2/22/2022, $23.04 ,633422000
2/18/2022, $24.67 ,761255000
2/17/2022, $25.63 ,810595000
2/16/2022, $26.26 ,732676000
2/15/2022, $24.95 ,699869000
2/14/2022, $23.93 ,440424000
2/11/2022, $25.92 ,605472000
2/10/2022, $26.00 ,513200000
2/9/2022, $25.62 ,524282000
2/8/2022, $24.36 ,410359000
2/7/2022, $24.37 ,376868000
2/4/2022, $23.97 ,354829000
2/3/2022, $24.46 ,410178000
2/2/2022, $25.79 ,543419000
2/1/2022, $25.10 ,518925000
1/31/2022, $23.18 ,564680000
1/28/2022, $22.01 ,543774000
1/27/2022, $23.57 ,573353000
1/26/2022, $23.24 ,755959000
1/25/2022, $22.55 ,664616000
1/24/2022, $22.33 ,913982000
1/21/2022, $23.51 ,718958000
1/20/2022, $25.30 ,435181000
1/19/2022, $26.08 ,488315000
1/18/2022, $26.26 ,424270000
1/14/2022, $26.30 ,395832000
1/13/2022, $28.38 ,540171000
1/12/2022, $28.07 ,383413000
1/11/2022, $27.32 ,404089000
1/10/2022, $26.58 ,594681000
1/7/2022, $28.14 ,409939000
1/6/2022, $27.64 ,454186000
1/5/2022, $28.95 ,498064000
1/4/2022, $30.28 ,527154000
1/3/2022, $29.82 ,391547000
12/31/2021, $29.67 ,266530000
12/30/2021, $29.83 ,308864000
12/29/2021, $30.27 ,343139000
12/28/2021, $31.31 ,420591000
12/27/2021, $29.66 ,403686000
12/23/2021, $29.75 ,343022000
12/22/2021, $28.89 ,395184000
12/21/2021, $28.37 ,524385000
12/20/2021, $27.31 ,461847000
12/17/2021, $27.99 ,713758000
12/16/2021, $31.15 ,707366000
12/15/2021, $28.40 ,698297000
12/14/2021, $27.70 ,667035000
12/13/2021, $30.25 ,598344000
12/10/2021, $31.15 ,488825000
12/9/2021, $31.73 ,488507000
12/8/2021, $32.00 ,475551000
12/7/2021, $30.96 ,593053000
12/6/2021, $29.88 ,658938000
12/3/2021, $32.00 ,544325000
12/2/2021, $31.21 ,472890000
12/1/2021, $33.22 ,484368000
11/30/2021, $33.17 ,622066000
11/29/2021, $32.37 ,454964000
11/26/2021, $32.60 ,283069000
11/24/2021, $31.46 ,435162000
11/23/2021, $31.54 ,532163000
11/22/2021, $33.52 ,754335000
11/19/2021, $32.24 ,533867000
11/18/2021, $32.37 ,781711000
11/17/2021, $30.42 ,428508000
11/16/2021, $29.76 ,264484000
11/15/2021, $30.55 ,384909000
11/12/2021, $30.01 ,413054000
11/11/2021, $30.47 ,332172000
11/10/2021, $29.36 ,636206000
11/9/2021, $32.28 ,646746000
11/8/2021, $30.15 ,503101000
11/5/2021, $30.19 ,851260000
11/4/2021, $27.23 ,1153631000
11/3/2021, $26.67 ,239910000
11/2/2021, $25.82 ,294112000
11/1/2021, $25.65 ,265740000
10/29/2021, $25.00 ,292503000
10/28/2021, $24.88 ,234204000
10/27/2021, $24.47 ,245990000
10/26/2021, $23.99 ,485898000
10/25/2021, $22.97 ,230235000
10/22/2021, $22.82 ,249384000
10/21/2021, $22.10 ,187590000
10/20/2021, $22.31 ,146276000
10/19/2021, $22.28 ,161473000
10/18/2021, $21.75 ,189494000
10/15/2021, $21.81 ,226994000
10/14/2021, $21.29 ,243589000
10/13/2021, $20.92 ,180652000
10/12/2021, $20.83 ,162134000
10/11/2021, $20.58 ,163388000
10/8/2021, $21.10 ,151258000
10/7/2021, $21.09 ,256919000
10/6/2021, $20.12 ,297202000
10/5/2021, $19.95 ,279282000
10/4/2021, $20.50 ,345635000
10/1/2021, $20.75 ,240978000
9/30/2021, $20.77 ,221009000
9/29/2021, $20.94 ,218394000
9/28/2021, $21.21 ,343069000
9/27/2021, $21.71 ,245215000
9/24/2021, $22.07 ,217655000
9/23/2021, $22.14 ,248555000
9/22/2021, $21.37 ,268726000
9/21/2021, $21.42 ,204688000
9/20/2021, $21.15 ,349440000
9/17/2021, $22.30 ,294503000
9/16/2021, $22.18 ,156033000
9/15/2021, $22.31 ,166538000
9/14/2021, $22.28 ,199755000
9/13/2021, $22.68 ,297500000
9/10/2021, $22.35 ,248376000
9/9/2021, $22.31 ,196856000
9/8/2021, $22.51 ,254434000
9/7/2021, $22.83 ,198107000
9/3/2021, $22.33 ,280532000
9/2/2021, $22.52 ,187834000
9/1/2021, $22.49 ,201767000
8/31/2021, $22.70 ,259850000
8/30/2021, $22.83 ,262580000
8/27/2021, $22.18 ,304722000
8/26/2021, $22.20 ,237940000
8/25/2021, $21.74 ,347701000
8/24/2021, $21.75 ,297299000
8/23/2021, $20.97 ,575807000
8/20/2021, $19.99 ,675741000
8/19/2021, $19.49 ,766555000
8/18/2021, $19.50 ,285913000
8/17/2021, $19.68 ,204585000
8/16/2021, $20.14 ,210876000
8/13/2021, $19.91 ,183063000
8/12/2021, $19.87 ,151652000
8/11/2021, $20.04 ,185925000
8/10/2021, $20.32 ,179238000
8/9/2021, $20.45 ,146443000
8/6/2021, $20.52 ,178497000
8/5/2021, $20.50 ,211435000
8/4/2021, $19.99 ,231309000
8/3/2021, $19.74 ,301811000
8/2/2021, $19.70 ,217444000
7/30/2021, $19.42 ,183497000
7/29/2021, $19.52 ,190781000
7/28/2021, $19.32 ,202191000
7/27/2021, $19.26 ,248863000
7/26/2021, $19.31 ,203943000
7/23/2021, $19.66 ,195672000
7/22/2021, $19.64 ,323826000
7/21/2021, $18.88 ,371017000
7/20/2021, $18.73 ,434687000
7/19/2021, $17.92 ,749060000
7/16/2021, $19.03 ,688224000
7/15/2021, $19.81 ,550564000
7/14/2021, $20.36 ,380100000
7/13/2021, $20.40 ,290708000
7/12/2021, $20.24 ,321984000
7/9/2021, $19.96 ,296624000
